iter	Passed	Remaining
0	1	179
1	3	170
2	5	167
3	6	163
4	8	164
5	10	162
6	12	159
7	13	157
8	15	154
9	16	152
10	18	151
11	20	148
12	21	147
13	23	145
14	25	144
15	27	142
16	28	140
17	30	138
18	32	137
19	33	135
20	35	133
21	37	131
22	38	130
23	40	128
24	42	126
25	43	124
26	45	123
27	47	121
28	48	119
29	50	117
30	52	116
31	54	114
32	55	113
33	57	111
34	59	109
35	60	107
36	62	106
37	64	104
38	65	102
39	67	101
40	69	99
41	70	98
42	72	96
43	74	94
44	76	93
45	77	91
46	79	89
47	81	87
48	82	86
49	84	84
50	86	82
51	88	81
52	89	79
53	91	77
54	92	76
55	94	74
56	96	72
57	97	70
58	99	69
59	101	67
60	103	65
61	104	64
62	106	62
63	108	60
64	109	59
65	111	57
66	113	55
67	115	54
68	116	52
69	118	50
70	120	49
71	121	47
72	123	45
73	125	44
74	126	42
75	128	40
76	130	38
77	132	37
78	134	35
79	135	33
80	137	32
81	139	30
82	140	28
83	142	27
84	144	25
85	146	23
86	147	22
87	149	20
88	151	18
89	153	17
90	155	15
91	156	13
92	158	11
93	160	10
94	161	8
95	162	6
96	164	5
97	166	3
98	167	1
99	169	0
